"Refs","Value","Footprint","Qty","Datasheet"
"C1,C3","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C2,C4","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"D1","PMEG2010EH","Diode_SMD:D_SOD-123","1",""
"D2-D4","SRV05-4","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","3",""
"D5","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"FB1","600R@100MHz","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","1",""
"J1","Flipper Zero GPIO","CC1101ExtBoardV2:FLIPPER-GPIO-18-RA","1","https://docs.flipper.net/zero/gpio-and-modules"
"J2","CC1101 Module","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","1",""
"J3","50 pads, 2.54 mm","CC1101ExtBoardV2:ProtoGrid_10x5_P2.54mm","1",""
"J4","Spare pins","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1",""
"R1","1kR","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
