Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",55.000000,-62.000000,90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",52.000000,-62.000000,90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",47.000000,-43.540000,-90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.500000,-43.540000,-90.000000,top
"D1","PMEG2010EH","D_SOD-123",56.650000,-67.000000,0.000000,top
"D2","SRV05-4","SOT-23-6_Handsoldering",33.810000,-64.600000,90.000000,top
"D3","SRV05-4","SOT-23-6_Handsoldering",38.890000,-64.600000,90.000000,top
"D4","SRV05-4","SOT-23-6_Handsoldering",43.970000,-64.600000,90.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.000000,-57.500000,-90.000000,top
"FB1","600R@100MHz","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",49.000000,-62.000000,90.000000,top
"J1","Flipper Zero GPIO","FLIPPER-GPIO-18-RA",30.000000,-70.000000,0.000000,top
"J2","CC1101 Module","PinSocket_2x04_P2.54mm_Vertical",40.640000,-48.260000,-90.000000,top
"J3","50 pads, 2.54 mm","ProtoGrid_10x5_P2.54mm",74.450000,-52.220000,0.000000,top
"J4","Spare pins","PinHeader_1x09_P2.54mm_Vertical",67.000000,-64.920000,90.000000,top
"R1","1kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.000000,-62.000000,90.000000,top
